id,姓名,加入時間,班級
1462,梁美玲,2021-09-28 17:03:36.038869,10月班
1463,李雅雯,2021-09-29 18:42:44.995426,10月班
1464,陳羽,2021-09-25 18:04:50.051540,10月班
1465,趙淑玲,2021-09-30 08:03:07.093958,10月班
1466,劉雅涵,2021-09-26 21:12:14.277214,10月班
1467,王家瑋,2021-09-28 05:04:40.593505,10月班
1468,賈怡婷,2021-09-27 16:56:24.424545,10月班
1469,張靜怡,2021-09-30 22:56:19.694543,10月班
1470,王怡如,2021-09-29 00:17:10.371900,10月班
1471,胡靜怡,2021-09-28 20:19:58.525770,10月班
1472,單淑芬,2021-09-29 06:28:40.886521,10月班
1473,黃志偉,2021-09-25 07:59:43.690490,10月班
1474,張庭瑋,2021-09-28 08:09:47.878908,10月班
1475,邱琬婷,2021-09-27 00:45:53.090382,10月班
1476,王飛,2021-09-29 02:34:13.055243,10月班
1477,曹佳蓉,2021-09-25 12:06:37.337223,10月班
1478,陳婉婷,2021-09-29 09:04:57.991677,10月班
1479,張家瑜,2021-09-27 13:29:07.752107,10月班
1480,章惠如,2021-09-24 15:31:06.492541,10月班
1481,張美琪,2021-09-29 10:39:09.747444,10月班
1482,吳淑惠,2021-09-29 05:27:28.137115,10月班
1483,任志偉,2021-09-22 00:21:31.874128,10月班
1484,鐘中山,2021-09-28 19:44:11.560671,10月班
1485,劉俊傑,2021-09-29 19:10:38.954258,10月班
1486,雷沖,2021-09-28 03:56:50.510957,10月班
1487,王怡萱,2021-09-29 02:44:50.688422,10月班
1488,施欣怡,2021-09-25 10:17:19.713989,10月班
1489,林琬婷,2021-09-29 17:18:16.482272,10月班
1490,張志偉,2021-09-28 04:51:34.290044,10月班
1491,饒家銘,2021-09-29 02:53:09.848581,10月班
1492,李雅婷,2021-09-30 06:21:53.503858,10月班
1493,劉宜君,2021-09-30 18:17:14.467177,10月班
1494,蔣雅雯,2021-09-29 05:12:30.377808,10月班
1495,羅婷婷,2021-09-25 22:10:10.935349,10月班
1496,夏沖,2021-09-27 15:55:33.343371,10月班
1497,王志偉,2021-09-30 23:45:23.057830,10月班
1498,武家銘,2021-09-28 05:33:10.236086,10月班
1499,何宗翰,2021-09-30 00:13:25.406236,10月班
1500,王俊傑,2021-09-30 09:58:51.038718,10月班
1501,張惠雯,2021-09-27 19:36:57.539994,10月班
1502,楊建宏,2021-09-27 20:49:33.208732,10月班
1503,裴佳玲,2021-09-29 03:05:01.202468,10月班
1504,龔佳樺,2021-09-27 10:47:16.425096,10月班
1505,潘淑慧,2021-09-28 18:58:26.246602,10月班
1506,鞠志宏,2021-09-28 09:50:17.962855,10月班
1507,王龍,2021-09-28 03:54:23.385069,10月班
1508,王俊傑,2021-09-30 16:36:47.692247,10月班
1509,潘怡伶,2021-09-29 08:12:07.252543,10月班
1510,黎佳慧,2021-09-25 22:23:57.742989,10月班
1511,符佩珊,2021-09-25 19:43:11.951137,10月班
1512,劉淑惠,2021-09-30 10:21:17.633754,10月班
1513,陳欣怡,2021-09-27 11:27:03.016819,10月班
1514,徐馨儀,2021-09-24 09:19:49.543119,10月班
1515,趙郁婷,2021-09-26 21:50:14.488600,10月班
1516,房佳蓉,2021-09-29 08:31:26.168315,10月班
1517,季俊賢,2021-09-28 16:44:18.352315,10月班
1518,王郁婷,2021-09-30 21:39:42.595383,10月班
1519,李冠宇,2021-09-29 07:42:59.392995,10月班
1520,劉柏翰,2021-09-30 13:12:40.452934,10月班
1521,高雅惠,2021-09-30 06:19:55.303948,10月班
1522,彭怡君,2021-09-29 16:32:23.345573,10月班
1523,屈淑貞,2021-09-28 08:03:16.643765,10月班
1524,申宜君,2021-09-28 02:03:53.717894,10月班
1525,劉淑貞,2021-09-26 22:22:04.223968,10月班
1526,袁雅婷,2021-09-30 23:19:38.836584,10月班
1527,張雅筑,2021-09-28 11:51:23.338947,10月班
1528,樊婷婷,2021-09-23 22:20:53.745869,10月班
1529,劉家銘,2021-09-27 18:34:46.871654,10月班
1530,王佳玲,2021-09-26 02:21:24.383261,10月班
1531,李佳慧,2021-09-30 02:46:13.098921,10月班
1532,吳怡伶,2021-09-24 03:48:56.587237,10月班
1533,淩依婷,2021-09-29 19:37:44.698270,10月班
1534,翟靜怡,2021-09-28 00:13:03.952938,10月班
1535,李家瑋,2021-09-28 14:24:38.460691,10月班
1536,李佳樺,2021-09-24 03:17:05.584067,10月班
1537,楊琬婷,2021-09-29 09:27:07.365630,10月班
1538,周慧君,2021-09-30 18:13:14.812765,10月班
1539,劉佳慧,2021-09-30 08:17:42.454790,10月班
1540,楊俊宏,2021-09-26 11:48:35.189572,10月班
1541,黃怡君,2021-09-27 17:27:41.719891,10月班
1542,馮美玲,2021-09-29 22:20:10.411271,10月班
1543,楊雅惠,2021-09-30 04:46:18.731343,10月班
1544,賴雅慧,2021-09-29 23:58:55.304566,10月班
1545,史郁婷,2021-09-29 04:17:29.675829,10月班
1546,劉雅婷,2021-09-29 06:15:04.123853,10月班
1547,程宜庭,2021-09-29 18:01:30.641628,10月班
1548,周威廷,2021-09-26 15:45:29.688312,10月班
1549,段怡伶,2021-09-30 14:13:08.733995,10月班
1550,周信宏,2021-09-27 14:33:57.725444,10月班
1551,陳信宏,2021-09-26 18:00:49.595143,10月班
1552,宋雅萍,2021-09-25 21:37:53.931473,10月班
1553,吳佳穎,2021-09-26 19:16:40.890608,10月班
1554,吳冠廷,2021-09-27 18:41:43.029190,10月班
1555,陳淑玲,2021-09-29 00:26:43.765636,10月班
1556,陳志宏,2021-09-28 07:55:19.274078,10月班
1557,任雅雯,2021-09-29 23:38:43.321031,10月班
1558,符心怡,2021-09-28 22:30:48.457191,10月班
1559,歐佩珊,2021-09-26 05:48:10.706466,10月班
1560,潘怡如,2021-09-28 09:08:00.663704,10月班
1561,李威廷,2021-09-30 03:50:53.780344,10月班
1562,鄭威廷,2021-09-28 00:57:15.474186,10月班
1563,任柏翰,2021-09-30 19:55:08.723523,10月班
1564,左雅玲,2021-09-28 15:37:23.412814,10月班
1565,胡庭瑋,2021-09-30 05:56:55.623864,10月班
1566,陳嘉玲,2021-09-30 21:07:16.240815,10月班
1567,王傑克,2021-09-30 03:29:40.957028,10月班
1568,李雅雯,2021-09-29 14:34:52.377176,10月班
1569,楊雅琪,2021-09-27 17:44:30.753412,10月班
1570,王傑克,2021-09-27 14:31:57.483246,10月班
1571,張家瑋,2021-09-30 02:37:04.772478,10月班
1572,趙冠廷,2021-09-28 15:47:31.783233,10月班
1573,廖雅文,2021-09-24 18:15:36.267433,10月班
1574,張哲瑋,2021-09-28 03:30:35.918368,10月班
1575,曹佳樺,2021-09-30 05:04:06.117805,10月班
1576,楊郁雯,2021-09-28 16:03:22.800241,10月班
1577,高羽,2021-09-30 12:22:02.798587,10月班
1578,王志偉,2021-09-29 11:52:26.807273,10月班
1579,田詩涵,2021-09-30 13:10:03.044732,10月班
1580,秦淑貞,2021-09-29 05:06:29.710394,10月班
1581,黃柏翰,2021-09-29 10:22:27.335170,10月班
1582,甘雅萍,2021-09-27 05:30:04.045394,10月班
1583,沈信宏,2021-09-26 22:17:39.564958,10月班
1584,王靜宜,2021-09-30 05:10:52.417640,10月班
1585,陶詩涵,2021-09-28 20:06:34.412669,10月班
1586,蘇怡伶,2021-09-26 01:24:33.840312,10月班
1587,苗雅雯,2021-09-28 15:41:58.202317,10月班
1588,胡宜庭,2021-09-30 09:55:59.485906,10月班
1589,程怡萱,2021-09-29 21:51:14.696575,10月班
1590,姚冠廷,2021-09-29 07:07:34.693920,10月班
1591,何怡萱,2021-09-27 09:22:26.614231,10月班
1592,畢琬婷,2021-09-29 14:36:35.655719,10月班
1593,姜俊傑,2021-09-30 13:54:42.928060,10月班
1594,劉雅文,2021-09-26 05:41:41.636673,10月班
1595,梁詩婷,2021-09-28 13:07:36.028356,10月班
1596,陳佳樺,2021-09-29 16:04:39.983436,10月班
1597,王淑貞,2021-09-28 19:46:10.556083,10月班
1598,陳怡伶,2021-09-29 12:12:46.641199,10月班
1599,苑志偉,2021-09-30 12:44:30.057209,10月班
1600,袁雅婷,2021-09-27 21:06:08.906336,10月班
1601,齊佳蓉,2021-09-30 11:15:15.294822,10月班
1602,韓懿,2021-09-30 07:48:10.895066,10月班
1603,李淑玲,2021-09-30 19:26:26.210366,10月班
1604,陳彥廷,2021-09-28 12:21:20.886216,10月班
1605,王信宏,2021-09-28 01:34:25.044095,10月班
1606,陳彥廷,2021-09-30 07:08:20.633598,10月班
1607,魏沖,2021-09-28 23:55:01.018321,10月班
1608,王怡安,2021-09-28 23:47:25.303403,10月班
1609,許詩婷,2021-09-30 18:21:55.700207,10月班
1610,楊佳慧,2021-09-30 07:17:12.646079,10月班
1611,沈佩君,2021-09-29 05:00:14.195671,10月班
1612,王宜君,2021-09-24 02:01:41.972705,10月班
1613,安淑貞,2021-09-28 13:54:03.620577,10月班
1614,唐郁婷,2021-09-30 09:05:26.797799,10月班
1615,黃詩婷,2021-09-26 20:16:28.570476,10月班
1616,嚴彥廷,2021-09-28 22:16:45.789607,10月班
1617,郭家銘,2021-09-30 02:07:39.280627,10月班
1618,李雅涵,2021-09-25 04:13:05.972299,10月班
1619,唐志宏,2021-09-25 10:18:12.425518,10月班
1620,胡家銘,2021-09-30 12:42:20.765687,10月班
1621,楊怡伶,2021-09-30 21:21:38.332835,10月班
1622,徐怡如,2021-09-28 08:54:04.103015,10月班
1623,林惠如,2021-09-29 22:38:03.644170,10月班
1624,劉中山,2021-09-28 13:38:56.519347,10月班
1625,吳建宏,2021-09-28 06:09:04.110388,10月班
1626,李佳蓉,2021-09-25 00:14:15.264804,10月班
1627,龔淑芬,2021-09-27 06:04:40.840496,10月班
1628,陳雅惠,2021-09-30 02:28:46.797303,10月班
1629,鐘雅萍,2021-09-29 22:17:54.939409,10月班
1630,趙郁婷,2021-09-27 22:11:09.704357,10月班
1631,莫宗翰,2021-09-27 05:23:32.550652,10月班
1632,張淑華,2021-09-21 10:48:56.709094,10月班
1633,劉俊宏,2021-09-26 13:34:02.468449,10月班
1634,謝雅萍,2021-09-28 01:43:55.966524,10月班
1635,馬怡如,2021-09-27 02:11:58.038735,10月班
1636,鄧怡伶,2021-09-28 06:03:50.310720,10月班
1637,張沖,2021-09-28 15:19:44.966566,10月班
1638,張羽,2021-09-27 13:53:39.118562,10月班
1639,許中山,2021-09-30 13:37:31.761480,10月班
1640,陳沖,2021-09-26 08:57:41.508003,10月班
1641,崔欣怡,2021-09-30 02:26:30.445790,10月班
1642,楊惠雯,2021-09-25 14:40:09.808723,10月班
1643,金怡伶,2021-09-30 19:25:24.820895,10月班
1644,梁馨儀,2021-09-30 16:16:29.490582,10月班
1645,蔡嘉玲,2021-09-27 13:42:22.656915,10月班
1646,王思穎,2021-09-30 20:42:56.327020,10月班
1647,馬淑惠,2021-09-30 19:31:34.988479,10月班
1648,塗志豪,2021-09-30 14:25:26.580226,10月班
1649,何佩珊,2021-09-30 08:57:38.576885,10月班
1650,李雅萍,2021-09-30 21:23:17.167128,10月班
1651,陳冠宇,2021-09-29 09:08:22.282503,10月班
1652,王雅惠,2021-09-29 06:58:05.604433,10月班
1653,溫俊賢,2021-09-29 18:01:36.989565,10月班
1654,楊家銘,2021-09-24 22:48:42.100237,10月班
1655,陳佩珊,2021-09-27 13:39:34.322336,10月班
1656,劉佳穎,2021-09-30 07:26:43.869513,10月班
1657,牛佩君,2021-09-29 02:48:46.026125,10月班
1658,郭思穎,2021-09-30 09:19:09.529971,10月班
1659,王惠婷,2021-09-30 12:36:57.138601,10月班
1660,康婉婷,2021-09-30 15:07:04.473980,10月班
1661,夏中山,2021-09-27 01:37:48.457037,10月班
1662,董飛,2021-09-30 09:12:10.395494,10月班
1663,王中山,2021-09-30 18:27:18.904742,10月班
1664,吳佳蓉,2021-09-28 08:56:02.309841,10月班
1665,王婉婷,2021-09-25 13:36:45.573858,10月班
1666,邵淑貞,2021-09-30 16:11:47.042772,10月班
1667,阮怡萱,2021-09-23 09:25:35.992400,10月班
1668,葉雅玲,2021-09-29 07:57:18.615983,10月班
1669,陳哲瑋,2021-09-30 14:41:08.244898,10月班
1670,李志宏,2021-09-28 18:55:11.938275,10月班
1671,王惠婷,2021-09-30 21:46:24.394539,10月班
1672,王婷婷,2021-09-28 13:17:49.523460,10月班
1673,袁俊傑,2021-09-23 15:33:15.004507,10月班
1674,黃佳樺,2021-09-28 07:19:07.328060,10月班
1675,徐思穎,2021-09-30 20:01:40.283209,10月班
1676,戴欣怡,2021-09-29 21:29:16.635304,10月班
1677,王雅芳,2021-09-27 12:11:35.967822,10月班
1678,秦彥廷,2021-09-29 16:27:46.242283,10月班
1679,王雅婷,2021-09-29 20:48:08.326185,10月班
1680,葉信宏,2021-09-29 15:39:59.927582,10月班
1681,王淑惠,2021-09-30 22:53:38.393400,10月班
1682,周家瑋,2021-09-27 13:07:13.866560,10月班
1683,楊惠雯,2021-09-28 06:36:57.371143,10月班
1684,王雅慧,2021-09-28 23:33:55.720941,10月班
1685,姚雅涵,2021-09-24 08:39:43.198461,10月班
1686,王建宏,2021-09-27 19:01:58.744128,10月班
1687,丁宜君,2021-09-30 09:30:44.672750,10月班
1688,朱淑玲,2021-09-28 06:04:28.778813,10月班
1689,顏雅萍,2021-09-29 06:30:01.066491,10月班
1690,薛雅玲,2021-09-26 16:57:07.622165,10月班
1691,劉淑慧,2021-09-26 09:28:14.069094,10月班
1692,陳家瑜,2021-09-30 13:54:10.994989,10月班
1693,任思穎,2021-09-26 21:34:01.463967,10月班
1694,余俊傑,2021-09-29 07:17:58.936272,10月班
1695,向郁雯,2021-09-28 20:33:43.734647,10月班
1696,陳冠宇,2021-09-28 12:20:54.795130,10月班
1697,曾家瑜,2021-09-26 22:30:45.532471,10月班
1698,蔔郁婷,2021-09-25 18:02:48.267687,10月班
1699,張靜宜,2021-09-28 02:03:45.516125,10月班
1700,杜淑玲,2021-09-27 13:10:28.626669,10月班
1701,周中山,2021-09-27 20:20:05.064062,10月班
1702,李佩珊,2021-09-28 23:45:28.216640,10月班
1703,師冠宇,2021-09-30 09:59:09.095968,10月班
1704,李俊賢,2021-09-28 23:33:36.478009,10月班
1705,唐婉婷,2021-09-26 13:28:46.291983,10月班
1706,胡哲瑋,2021-09-29 02:27:31.996518,10月班
1707,寧怡萱,2021-09-28 03:25:54.316074,10月班
1708,萬筱涵,2021-09-29 05:44:04.097285,10月班
1709,徐欣怡,2021-09-28 18:24:50.618699,10月班
1710,嚴心怡,2021-09-30 22:44:57.576086,10月班
1711,安瑋婷,2021-09-27 22:13:18.756515,10月班
1712,李慧君,2021-09-25 06:19:18.678894,10月班
1713,李佩君,2021-09-26 14:40:17.816818,10月班
1714,王家豪,2021-09-26 21:50:41.781877,10月班
1715,朱家銘,2021-09-29 22:14:23.878597,10月班
1716,範怡萱,2021-09-28 09:57:07.974128,10月班
1717,劉沖,2021-09-29 15:31:21.585712,10月班
1718,馮美琪,2021-09-30 17:20:17.415029,10月班
1719,田中山,2021-09-30 19:06:19.064208,10月班
1720,劉俊賢,2021-09-24 04:32:00.642222,10月班
1721,區淑玲,2021-09-28 23:33:44.879618,10月班
1722,喬雅涵,2021-09-30 13:50:09.180440,10月班
1723,蔣瑋婷,2021-09-30 16:44:26.683665,10月班
1724,徐佳樺,2021-09-30 18:32:18.055490,10月班
1725,葉筱涵,2021-09-27 23:00:53.360333,10月班
1726,洪琬婷,2021-09-30 10:45:41.844518,10月班
1727,劉冠霖,2021-09-28 20:11:57.054243,10月班
1728,陳雅慧,2021-09-29 12:16:44.803428,10月班
1729,朱雅琪,2021-09-28 04:44:25.535648,10月班
1730,陳雅萍,2021-09-27 21:25:22.174691,10月班
1731,郭志豪,2021-09-25 23:30:21.384927,10月班
1732,黃欣怡,2021-09-29 18:09:53.690996,10月班
1733,陳建宏,2021-09-29 07:35:37.183862,10月班
1734,鐘宗翰,2021-09-29 16:22:29.682240,10月班
1735,陳雅玲,2021-09-30 18:11:10.267582,10月班
1736,張慧君,2021-09-29 05:17:41.273415,10月班
1737,梁彥廷,2021-09-29 18:40:22.936393,10月班
1738,駱嘉玲,2021-09-29 04:31:21.912816,10月班
1739,宋佳蓉,2021-09-29 14:15:37.164674,10月班
1740,杜雅涵,2021-09-30 08:47:51.356523,10月班
1741,梁婷婷,2021-09-30 10:39:16.794342,10月班
1742,張雅惠,2021-09-28 04:13:58.662743,10月班
1743,林柏翰,2021-09-26 20:38:00.720682,10月班
1744,梁雅文,2021-09-24 06:24:48.892766,10月班
1745,李俊賢,2021-09-28 22:19:15.928792,10月班
1746,蔣依婷,2021-09-26 08:09:38.459236,10月班
1747,何懿,2021-09-26 19:01:08.856357,10月班
1748,陶志豪,2021-09-30 14:26:31.536367,10月班
1749,陶哲瑋,2021-09-26 17:53:04.182098,10月班
1750,周宗翰,2021-09-27 19:59:55.112946,10月班
1751,武怡如,2021-09-29 15:48:05.935139,10月班
1752,蔡庭瑋,2021-09-23 22:41:12.612076,10月班
1753,陳志豪,2021-09-27 06:11:05.111242,10月班
1754,左雅婷,2021-09-27 02:53:04.810319,10月班
1755,許龍,2021-09-25 02:33:24.080840,10月班
1756,萬惠雯,2021-09-26 18:53:25.713867,10月班
1757,趙美琪,2021-09-28 10:53:16.256531,10月班
1758,孫怡安,2021-09-30 22:00:56.255545,10月班
1759,劉佳慧,2021-09-29 03:13:03.068412,10月班
1760,劉雅涵,2021-09-28 23:01:53.713954,10月班
1761,李靜怡,2021-09-26 13:19:25.993680,10月班
1762,黃依婷,2021-09-28 19:43:49.892181,10月班
1763,楊靜宜,2021-09-29 16:59:53.714983,10月班
1764,侯雅芳,2021-09-26 11:25:13.147577,10月班
1765,孫雅芳,2021-09-30 12:54:32.555831,10月班
1766,孫雅萍,2021-09-28 01:27:27.938823,10月班
1767,徐雅婷,2021-09-30 00:50:26.476709,10月班
1768,李傑克,2021-09-29 04:15:28.349855,10月班
1769,高宜君,2021-09-26 07:04:16.197867,10月班
1770,黃怡婷,2021-09-28 17:00:56.831776,10月班
1771,盧冠宇,2021-09-28 00:03:53.174121,10月班
1772,胡欣怡,2021-09-27 12:56:26.228517,10月班
1773,陳瑋婷,2021-09-29 08:33:22.966131,10月班
1774,馬美琪,2021-09-28 09:48:45.849124,10月班
1775,王郁雯,2021-09-26 03:10:14.518276,10月班
1776,範婷婷,2021-09-24 05:50:14.349485,10月班
1777,邢雅萍,2021-09-27 05:03:59.383047,10月班
1778,施羽,2021-09-24 15:04:17.676085,10月班
1779,張中山,2021-09-29 20:39:10.938814,10月班
1780,林雅惠,2021-09-26 22:44:15.155488,10月班
1781,張淑芬,2021-09-27 07:39:38.238748,10月班
1782,李雅婷,2021-09-30 05:00:32.983591,10月班
1783,甄雅玲,2021-09-28 07:38:46.315779,10月班
1784,潘心怡,2021-09-27 17:17:41.169710,10月班
1785,朱慧君,2021-09-30 17:42:57.667838,10月班
1786,譚鈺婷,2021-09-28 21:24:16.639198,10月班
1787,梁飛,2021-09-29 14:52:08.308244,10月班
1788,張雅婷,2021-09-22 13:51:16.436598,10月班
1789,張家瑋,2021-09-27 05:41:00.677346,10月班
1790,吳佳穎,2021-09-25 06:40:35.727042,10月班
1791,許怡如,2021-09-29 05:13:46.417939,10月班
1792,韋威廷,2021-09-29 01:25:16.840210,10月班
1793,吳淑惠,2021-09-30 18:22:36.828381,10月班
1794,王靜怡,2021-09-28 07:18:03.902754,10月班
1795,趙承翰,2021-09-26 07:42:41.151420,10月班
1796,夏婷婷,2021-09-27 08:32:24.785467,10月班
1797,王雅婷,2021-09-27 05:41:27.596867,10月班
1798,耿雅琪,2021-09-29 15:42:08.710390,10月班
1799,呂佩君,2021-09-29 16:30:08.134517,10月班
1800,羅筱涵,2021-09-29 13:30:58.167544,10月班
1801,郭俊賢,2021-09-30 00:06:57.146823,10月班
1802,李惠婷,2021-09-29 13:13:13.235093,10月班
1803,熊雅芳,2021-09-29 18:05:47.376615,10月班
1804,柯佳穎,2021-09-25 16:16:18.960723,10月班
1805,羅冠廷,2021-09-29 01:17:54.047288,10月班
1806,張志宏,2021-09-29 14:41:24.241527,10月班
1807,楊靜宜,2021-09-27 14:40:44.853884,10月班
1808,李俊賢,2021-09-26 09:09:16.420112,10月班
1809,王信宏,2021-09-24 00:15:41.065394,10月班
1810,陳嘉玲,2021-09-30 13:51:38.541869,10月班
1811,胡怡君,2021-10-29 12:56:25.351552,11月班
1812,趙家瑜,2021-10-23 23:12:29.638857,11月班
1813,孫沖,2021-10-26 03:21:52.799615,11月班
1814,石琬婷,2021-10-29 13:55:55.826757,11月班
1815,郭郁雯,2021-10-24 06:56:18.410464,11月班
1816,劉美玲,2021-10-25 23:28:29.019266,11月班
1817,歐陽淑慧,2021-10-26 00:38:32.447254,11月班
1818,董雅文,2021-10-30 03:30:20.365406,11月班
1819,甘庭瑋,2021-10-25 10:27:03.165218,11月班
1820,文佩珊,2021-10-22 05:30:12.674960,11月班
1821,幹庭瑋,2021-10-25 14:39:15.857917,11月班
1822,魏佳穎,2021-10-21 14:39:26.875064,11月班
1823,劉家豪,2021-10-26 16:17:53.726517,11月班
1824,敬龍,2021-10-23 22:13:52.920947,11月班
1825,王靜宜,2021-10-29 02:37:15.254161,11月班
1826,杜怡伶,2021-10-28 14:33:20.285843,11月班
1827,陳詩涵,2021-10-31 09:11:53.608852,11月班
1828,鄭信宏,2021-10-31 09:54:44.170206,11月班
1829,陳信宏,2021-10-28 17:13:20.438662,11月班
1830,劉哲瑋,2021-10-24 17:33:00.172006,11月班
1831,冉惠如,2021-10-28 21:35:58.833814,11月班
1832,李志豪,2021-10-26 01:55:01.444379,11月班
1833,張美琪,2021-10-24 12:32:39.620844,11月班
1834,姜建宏,2021-10-26 14:03:14.577563,11月班
1835,劉惠婷,2021-10-26 14:16:56.904429,11月班
1836,陳家瑜,2021-10-20 23:55:08.136849,11月班
1837,王俊宏,2021-10-27 21:45:02.760628,11月班
1838,李佩君,2021-10-30 07:00:08.042425,11月班
1839,袁淑貞,2021-10-29 05:10:26.008809,11月班
1840,彭惠雯,2021-10-25 17:12:44.507906,11月班
1841,楊馨儀,2021-10-24 15:17:45.898300,11月班
1842,陳怡如,2021-10-25 05:35:48.581629,11月班
1843,楊佳樺,2021-10-28 05:21:04.560801,11月班
1844,任佳穎,2021-10-31 00:53:36.280461,11月班
1845,唐靜怡,2021-10-25 09:08:35.516062,11月班
1846,王婷婷,2021-10-26 15:48:32.715003,11月班
1847,儲惠雯,2021-10-28 11:09:25.673586,11月班
1848,楊羽,2021-10-25 11:41:54.723575,11月班
1849,武雅涵,2021-10-29 20:36:37.397588,11月班
1850,李惠雯,2021-10-21 14:00:57.051134,11月班
1851,楊心怡,2021-10-22 14:58:28.489502,11月班
1852,劉建宏,2021-10-24 14:47:11.493901,11月班
1853,張俊宏,2021-10-22 09:06:54.518841,11月班
1854,杜怡安,2021-10-26 00:51:39.351766,11月班
1855,徐佳蓉,2021-10-29 15:31:36.152466,11月班
1856,王怡君,2021-10-30 19:58:53.102798,11月班
1857,王雅筑,2021-10-24 07:30:12.697312,11月班
1858,黃俊傑,2021-10-22 15:49:05.835027,11月班
1859,施佳慧,2021-10-28 04:52:30.729981,11月班
1860,楊瑋婷,2021-10-22 14:40:47.490449,11月班
1861,陳淑娟,2021-10-29 03:10:31.118806,11月班
1862,王志偉,2021-10-30 06:33:31.625121,11月班
1863,郭雅萍,2021-10-29 21:46:23.475019,11月班
1864,鄒郁婷,2021-10-30 04:42:59.061737,11月班
1865,程惠雯,2021-10-31 21:44:15.845900,11月班
1866,楊筱涵,2021-10-30 16:24:21.724618,11月班
1867,黃淑芬,2021-10-30 02:48:41.448239,11月班
1868,任淑玲,2021-10-25 03:43:24.839584,11月班
1869,王怡君,2021-10-27 08:29:48.990918,11月班
1870,林威廷,2021-10-28 07:33:31.927515,11月班
1871,楊雅慧,2021-10-30 05:28:41.126684,11月班
1872,王美琪,2021-10-24 14:25:29.636362,11月班
1873,曾雅筑,2021-10-27 03:08:25.977599,11月班
1874,羅怡君,2021-10-31 20:16:21.673623,11月班
1875,陳怡如,2021-10-28 15:36:44.239944,11月班
1876,楊宜君,2021-10-24 23:16:18.144898,11月班
1877,翟怡萱,2021-10-18 22:20:00.184882,11月班
1878,盧琬婷,2021-10-28 18:30:43.210022,11月班
1879,羅淑華,2021-10-30 18:57:43.265006,11月班
1880,黃羽,2021-10-26 01:58:07.206245,11月班
1881,吳沖,2021-10-31 20:05:37.528207,11月班
1882,王淑惠,2021-10-28 22:18:35.126202,11月班
1883,石雅萍,2021-10-30 09:53:15.954488,11月班
1884,宋美玲,2021-10-31 23:00:36.563482,11月班
1885,都婷婷,2021-10-26 07:38:30.926500,11月班
1886,馬瑋婷,2021-10-28 20:16:38.238007,11月班
1887,金冠廷,2021-10-29 12:44:00.184362,11月班
1888,劉宗翰,2021-10-30 11:22:09.312276,11月班
1889,張慧君,2021-10-24 22:40:55.924951,11月班
1890,王雅婷,2021-10-25 07:48:01.954010,11月班
1891,華淑芬,2021-10-22 05:11:26.023285,11月班
1892,朱淑貞,2021-10-31 11:43:52.890508,11月班
1893,王婉婷,2021-10-29 20:10:02.463680,11月班
1894,陳佳穎,2021-10-27 12:04:43.087760,11月班
1895,吳淑玲,2021-10-27 03:03:37.262375,11月班
1896,張威廷,2021-10-31 07:15:09.264559,11月班
1897,許淑玲,2021-10-31 06:32:21.439900,11月班
1898,任承翰,2021-10-26 21:06:55.172615,11月班
1899,張惠雯,2021-10-27 14:08:14.684272,11月班
1900,陳建宏,2021-10-26 14:55:09.625577,11月班
1901,陳琬婷,2021-10-29 07:05:36.353694,11月班
1902,杜承翰,2021-10-28 08:50:26.822117,11月班
1903,潘怡伶,2021-10-27 06:24:47.155974,11月班
1904,許宗翰,2021-10-22 02:15:42.532809,11月班
1905,韓俊賢,2021-10-31 12:49:40.317107,11月班
1906,張志偉,2021-10-27 12:54:55.339529,11月班
1907,郭怡伶,2021-10-31 10:27:18.139776,11月班
1908,陳佩珊,2021-10-23 23:18:27.994729,11月班
1909,張惠如,2021-10-17 14:22:37.247010,11月班
1910,吳庭瑋,2021-10-27 09:48:34.206803,11月班
1911,吳郁婷,2021-10-25 14:05:19.225533,11月班
1912,蕭承翰,2021-10-31 19:54:37.123084,11月班
1913,尹宜庭,2021-10-22 03:47:39.334489,11月班
1914,劉彥廷,2021-10-23 16:39:58.485201,11月班
1915,苗雅筑,2021-10-31 05:54:55.743158,11月班
1916,任美玲,2021-10-27 18:59:08.637714,11月班
1917,徐家瑋,2021-10-28 12:19:17.882354,11月班
1918,曹佳樺,2021-10-28 22:41:35.977227,11月班
1919,黃冠霖,2021-10-31 04:39:49.638061,11月班
1920,郭心怡,2021-10-31 05:05:19.322811,11月班
1921,陳宗翰,2021-10-29 01:43:41.980624,11月班
1922,閻沖,2021-10-31 05:56:30.968721,11月班
1923,嚴淑娟,2021-10-31 09:42:47.885888,11月班
1924,李俊傑,2021-10-26 20:51:55.451046,11月班
1925,黃怡安,2021-10-20 09:02:40.117152,11月班
1926,鄒怡安,2021-10-27 01:00:13.958617,11月班
1927,李雅雯,2021-10-26 02:51:43.139418,11月班
1928,申雅文,2021-10-31 17:38:13.727732,11月班
1929,龍柏翰,2021-10-23 20:35:38.699022,11月班
1930,夏雅雯,2021-10-28 13:54:57.498673,11月班
1931,王彥廷,2021-10-27 05:43:48.873554,11月班
1932,郭宗翰,2021-10-28 15:48:55.474067,11月班
1933,李慧君,2021-10-23 20:23:21.233330,11月班
1934,劉威廷,2021-10-30 17:23:07.913520,11月班
1935,陳雅文,2021-10-20 02:29:58.902823,11月班
1936,張雅慧,2021-10-30 15:00:55.995813,11月班
1937,劉承翰,2021-10-28 17:16:33.563766,11月班
